filename	reference_text	transcribed_text
common_voice_he_39350850	גם הורדו טפוליו ל רמת קפת חולים	גם הורדו טפוליו ל רמת קפת חולים
common_voice_he_39350851	ה טנור שלנו שכח את קולו ב ביתו	ה טנור שלנו שכח את קולו ב בית
common_voice_he_39350852	יש שם קבוצה מערבת מ עברינים מה סוגים ה שונים	יש שם קבוצה מערבת מ עברינים מה סוגים ה שונים
common_voice_he_40630793	קניון הדר הוא נקדת החלפה בין אוטובוסים שונים	קניון הדר הוא נקדת החלפה בין אוטובוסים שונים
common_voice_he_40630794	שב ארצות ה ברית למשל יש בחינה פעם אחת ב שנה	כש בארצות ה ברית למשל יש בחינה פעם אחת ב שנה
common_voice_he_40630795	אני לא מכיר מנגנון כזה ב שום תחום	אני לא מכיר מנגנון כזה ב שום תחום
common_voice_he_41066670	גם ה חשובים מ בחינה פיננסית זה צחוק	גם ה חשובים מ בחינה פיננסית זה צחוק
common_voice_he_41066672	בוא נתן ל זה קצת זמן ו נראה איך ה דברים מתנהלים	בוא נתן ל זה קצת זמן ו נראה איך ה דברים מתנהלים
common_voice_he_41066673	מתנהלת ב פמבי ב בית משפט ב דלתים פתוחות	מתנהלת ב פמבי ב בית משפט ב דלתים פתוחות
common_voice_he_40858574	ש לא זו בלבד ש זה לא מביא צמיחה	ש לא זו בלבד ש זה לא מביא צמיחה
common_voice_he_40858577	הכרה זו אינה פוטרת את ה ספורטאים מ שרות	הכרה זו אינה פוטרת את ה ספורטאים מ שרות
common_voice_he_40858579	מה ה הבדל בין ה שטח ה כבוש ש נקרא אוניברסיטת תל אביב	מה ה הבדל בין ה שטח ה כבוש ש נקרא אוניברסיטת תל אביב
common_voice_he_38283249	ה הכנסה ה יותר גדולה היא מ מכירת בולים	ה הכנסה ה יותר גדולה היא מ מכירת בולים
common_voice_he_38283250	אהבתי אתכם ספנים ה יוצאים ב שיר זמר תמים	אהבתי אתכם ספנים ה יוצאים ב שיר זמר תמים
common_voice_he_38283253	אנשים יצאו מכאן במקום ספורטאים בעלי חשבון	אנשים יצאו מכאן במקום ספורטאים בעלי חשבון
common_voice_he_41869858	מאמץ מרכז ל אתור ול החרמת אמצעי לחימה בלתי חקיים	מאמץ מרכז ל אתור ול החרמת אמצעי לחימה בלתי חקיים
common_voice_he_41869860	כש ממקמים מתקן גז ב הקף כזה בתוך אזור ש ממילא הוא רווי ב מפעלים ו חמרים מסכנים	כש ממקמים מתקן גז ב הקף כזה בתוך אזור ש ממלא הוא רווי מפעלים ו חמרים מסכנים
common_voice_he_41869861	באמת תודה רבה ל כל אלה ש שתפים	באמת תודה רבה ל כל אלה ש שתפים
common_voice_he_38883182	ו אלו מה ששיך ל קרע ב נפש הרי זה ברור ו מובן	ו אלו מה ששיך ל קרע ב נפש הרי זה ברור ו מובן
common_voice_he_38883183	הוא לא אלהי אברהם יצחק ו יעקב	ו לא אלהי אברהם יצחק ו יעקב
common_voice_he_38883184	עכשו היא התחילה לתפס מפני מה הסתלקו להן כל שאר ה עבדות	עכשו היא התחילה לתפס מפני מה הסתלקו להן כל שאר ה עבדות
common_voice_he_38883186	עשיתי כסף רב ו הנה ב אחת ה ימים הלך כל ה כסף ל עזאזל ב עסק ב יש	עשיתי כסף רב ו הנה ב אחת ה ימים הלך כל ה כסף ל עזאזל ב עסק ב יש
common_voice_he_41486333	ה ארנונה ב דימונה מגזמת ל עמת ירחם	ה ארנונה ב דימונה מגזמת ל עמת ירחם
common_voice_he_41486334	לבין סטודנטים ש למדו כאן ב אוניברסיטאות ב ארץ	לבין סטודנטים ש למדו כאן ב אוניברסיטאות ב ארץ
common_voice_he_41486336	שמעתי שם הערות מאוד מ ענינות לגבי תכנית ה התנתקות וה יציאה מ עזה	שמעתי שה מערות מאוד מענינות לגבי תכנית ה התנתקות וה יציאה מ עזה
common_voice_he_41486337	ניסן סלומינסקי ו אמנון כהן ל ועדת ה פנים ו איכות ה סביבה נתקבלה	ניסן סלומינסקי ו אמנון כהן ל ועדת ה פנים ו איכות ה סביבה נתקבלה
common_voice_he_40972184	ב ראשון ל ציון לא מדבר ב עשרים טונות גז	ב רשיוני ציון לא מדבר ב עשרים טונות גז
common_voice_he_40972185	סגניו מאימים רמונים השלכו לתוך חצרותיהם	סגניו מאימים אמונים השלכו לתוך עצורותיהם
common_voice_he_40972186	אני מניח ש הוא לא מצפה ש זה יקרה מחר	אני מניח ש הוא לא מצפה ש זה יקרה מחר
common_voice_he_40972188	לא רק ב רמה ה עקרונית אלא גם ב רמה ה תפעולית	לא רק ב רמה ה עקרונית אלא גם ב רמה ה תפעולית
common_voice_he_40909673	כי גם כך הוא רעב ו ממהר	כי גם כך הוא רעב ו ממהר
common_voice_he_40909674	אנחנו עדים ל כך ש מקומות יהודיים הם יעד פרענות ל מפגעים	אנחנו עדים ל כך ש מקומות יהודיים הם יעד פרענות ל מפגעים
common_voice_he_40909676	למה היא צריכה לגבות מהם אגרה	למה היא צריכה לגבות מהם אגרה
common_voice_he_40909677	לא אצל ה מבטלים ו לא אצל ה חרדים	לא יוצא ל מבטלים ו לא יוצא ל חרדים
common_voice_he_39897721	ב סין יש רכבות מהירות ש מגיעות עד ארבע מאות קמש	ב סין יש רכבות מהירות ש מגיעות עד ארבע מאות קמש
common_voice_he_39897722	וה ערכים ה יקרים הם דע מה למעלה ממך	וה ערכים ה יקרים הם דע מה למעלה ממך
common_voice_he_39897723	הם לא נעצרו הם לא נשפטו	הם לא נעצרו הם לא נשפטו
common_voice_he_39897724	אנחנו לקראת משהו ב אלפים ו שלוש עשרה	אנחנו לקראת משהו ב אלפים ו שלוש עשרה
common_voice_he_43281934	אלא אם כן יש מי ש מתנגד	עליהם כן יש מי ש מתנגד
common_voice_he_43281935	ו אני נמצא פה מ שנת אלף תשע מאות שמונים ו שמונה	ו אני נמצא פה מ שנת אלף תשע מאות שמונים ו שמונה
common_voice_he_43281936	ליד ככר רבין יש את ה מקום עם ה סושי ה כי טוב ש אכלתי ב חיים	ליד ככר רבין יש את ה מקום עם ה סושה ה כי טוב ש אכלתי ב חיים
common_voice_he_43281938	אבל אני רוצה לודא סופית ש אנחנו באים עם דברים מסדרים	אבל אני רוצה לודא סופית ש אנחנו באים עם דברים מסדרים
common_voice_he_40067774	אגוד ערים ו שרותי כבאות אזור אשקלון	אגוד ערים ו שרותי כבאות אזור אשקלון
common_voice_he_40067775	מתקף תפקידי כ יושב ראש ועדת ה כספים	מתקף תפקידי כ יושב ראש ועדת כספים
common_voice_he_40067777	אבא רץ אתי ב יער שאל אבא את אמי היכן חנהלי	אבא רץ אתי ב יער ו שאל את אמי היכן חנאלה
common_voice_he_40067778	נחקר במשך כשעה וב סיומה שחרר ל דרכו	נחקר במשך כשעה וב סיומה שחרר ל דרכו
common_voice_he_38744643	ש חלקם ה עז ל מרד ו להצביע ב נושא ה ערבה ב ישר	ש חלקם מעז ל מרד ו להצביע ב נושא ה ערבה ב ישר
common_voice_he_38744644	ו לכן כל ה טכנולוגיה ש אפשר להכניס ו להגביל	ו לכן כל ה טכנולוגיה ש אפשר להכניס ו להגביל
common_voice_he_38744646	ה מחלקה ה שביעית של תרבות אבדה עם ה מורה	ה מחלקה ה שביעית של תרבות עבדה עם ה מורה
common_voice_he_38744647	לעסת ה חמורים השרתה מנוחה ב אסם	ל עיסת ה חמורים נשרתה מנוחה ב אסמה
common_voice_he_38094978	ארכו ה לילות ו קצרו ה ימים	ארכו ה לילות ו קצרו ה ימים
common_voice_he_38094979	נשכבתי ליד ה מים ה שקטים	נשכרתי ליד ה מים ה שקטים
common_voice_he_38094980	הרי זה נקרא לקחת חרמש ב ידים	הרי זה נקרא לקחת חרמש ב ידים
common_voice_he_38094981	ה מורים לוקחים כרכרות ו נוסעים לקראתם	ה מורים לוקחים כרכרות ו נוסעים לקראתן
common_voice_he_39750876	אז מתר לתת גם ל מפלגה אחרת לנמק	אז מתר לתת גם ל מפלגה אחרת לנמק
common_voice_he_39750877	אבל היות ש היו שנויים ב סדר ה יום הם היו חיבים לעזב	אבל היות ש היו שנויים ב סדר ה יום הם היו חיבים לעזב
common_voice_he_39750878	ו זאת היתה למעשה ראשית ה שמוש ב נעלים	ו זאת היתה למעשה ראשית ה שמוש ב נעלים
common_voice_he_39750933	הרבה פעמים דבר על ה נושא ה זה	הרבה פעמים דבר על ה נושא ה זה
common_voice_he_39750937	זה בעצם מהוה תמריץ שלילי ל חיל ה מלואים להתיצב ל שרות	זה בעצם מהוה תמריץ שלילי ל חיל ה מלואים להתיצב ל שרות
common_voice_he_38883685	ב יום בהיר יפה יצאנו ל טיול	ב יום בהיר יפה יצאנו ל טיול
common_voice_he_38883686	כל ה בריאים מהלכים כמו קפיצים מתמתחים ו מתכוצים מ כאבי שרירים	כל ה בריאים מהלכים כמו קפיצים מתמתחים ו מתכוצים מ כאבי שרירים
common_voice_he_38883687	עשן החל להחניקנו	עשן החל להחניקנו
common_voice_he_38883688	כבר אפשר לראות ש לא מדבר ב תכנית כלכלית	כבר אפשר לראות ש לא מדבר ב תכנית כלכלית
common_voice_he_38883689	הוא ה רועה שלי	הוא ה רועה שלי
common_voice_he_40972199	ב מפלגתי זה גרוע ב קדימה זה גרוע	ב מפלגתי זה גרוע ב קדימה זה גרוע
common_voice_he_40972200	הוא יגיד אני נפגע תאונת דרכים	הוא יגיד אני נפגע תאונת דרכים
common_voice_he_40972201	הוא אומר ב תכנית ה זאת החלטנו ב צורה ברורה ש לא לפגע ב שכבות ש נמצאות ב מצב ה קשה ביותר	הוא אומר ב תכנית ה זאת החלטנו ב צורה ברורה ש לא לפגע ב שכבות ש נמצאות ב מצב ה קשה ביותר
common_voice_he_40972202	ש ישלם ל טובת ה קרן ל שקום ים ה מלח	ש ישלם ל טובת ה קרן ל שקום ים ה מלח
common_voice_he_40972203	אני חיב לומר לך אני לא שיך ל מנזר ה שתקנים	אני חיב לומר לך אני לא שיך ל מנזר ה שתקנים
common_voice_he_41617129	בריאת ה עולם היתה בזכות מדת ה חסד עולם חסד יבנה	בריאת ה עולם היתה בזכות מדת ה חסד עולם חסד יבנה
common_voice_he_41617130	ב מכללות ה צבוריות יותר מ שבעים אחוזים מה מרצים הם מרצים מן ה חוץ	ב מכללות ה צבוריות יותר מ שבעים אחוזים מה מרצים הם מרצים מן ה חוץ
common_voice_he_41617131	וב מקומות ש בהם הוא הפסיק ו צטט ב צורה סלקטיבית	וב מקומות ש בהם הוא הפסיק ו צטט ב צורה סלקטיבית
common_voice_he_41617133	וה עוזרים ל ידו דורית ו אג סיגל קוגוט	וה עוזרים ל ידו דורית ו אג סיגל קוגוט
common_voice_he_41617137	זה אפשר לתקן כי זה לא מעשי שמים	זה אפשר לתקן כי זה לא מעשי שמים
common_voice_he_40137979	מה היא ה התחשבות ב עמדת קרובי ה משפחה	מהי ה התחשבות ב עמדת קרובי ה משפחה
common_voice_he_40137980	אנו מקוים שה תכנית תקרם בקרוב עור ו גידים	אנו מקוים שה תכנית תקרם בקרוב אור ו גידים
common_voice_he_40137981	יש הרבה מותגים של מכוניות ב ארץ הונדה ו סיטראון למשל	יש הרבה מותגים של מכוניות ב ארץ הונדה ו סיטואן למשל
common_voice_he_40137982	לא הפרו אמונים ו לא קבלו שחד	לא הפרו אמונים ו לא קבלו שחד
common_voice_he_40137983	בין ש אדם נפטר ב בית בין קרובי משפחה ו בין ש הוא נפטר ערירי ב מקום כלשהו	בין ש אדם נפטר ב בית בין קרובי משפחה ו בין ש הוא נפטר על ידי ב מקום כלשהו
common_voice_he_43313116	אנחנו כ רגע נמצאים דוקא ב ארבע עשרה דקות	אנחנו כ רגע נמצאים דוקא ב ארבע עשרה דקות
common_voice_he_43313117	תפעיל את ה שיר של אביב גפן ב ספוטיפי	תפעיל את ה שיר של אביב גחן ב ספוטיפיי
common_voice_he_43313118	ו תוך חמש דקות זה מופיע ב רדיו	ו תוך חמש דקות זה מופיע ב רדיו
common_voice_he_43313119	ה מוח מרכב מ שתי אונות ה ימנית וה שמאלית	ה מוח מרכב מ שתי עונות ה ימנית וה שמאלית
common_voice_he_43313120	ב תכנית ה כלכלית בינתים גזרה אחת עברה מן ה עולם	ב תכנית ה כלכלית בינתים גזרה אחת עברה מן ה עולם
common_voice_he_38568963	כל סמל הוא מועט ה מרמז ל הרבה	כל סמל מועט ה מרמת ב הרבה
common_voice_he_38568964	ומש מתחילים לדבר על ה בית ה עינים מאירות ב מין ברק מתגעגע ו חולם	ומש מתחילים לדבר על ה בית ה עינים מהירות ב מדברת אנרגיה ו חוללת
common_voice_he_38568965	כי ה דיון בפניו ישהה עד ל ברור ה הליך ה פלילי	שה דיון בפניו ישהה עד ל ברור ה הליך ה פלילי
common_voice_he_38568966	ב שעה ש דני ו אבישי ו אתי ו רותי קפצו מעל ערמת ה קש עמד יוסי מן ה צד	ב שעה ש דני ו אבישי ו אתי ב רותי קפסו מעל ערמת ה קיץ עמד יוסי ל ימין עצב
common_voice_he_38568967	ראיתיה ב עיר ה בירה ב טרם עליתי ארצה	ראיתי אויר אוירה ב טרם עליתי ארץ
common_voice_he_39659793	אבל הוא ישב לילה שלם ב מעצר	אבל הוא ישב לילה שלם ב מעצב
common_voice_he_39659794	הם גם החליטו לשתפו ב ארחותיהם ו עשו קפה משתפת	הם גם החליטו לשתפו ב ארוחותיהם ו עשו קפה משתפת
common_voice_he_39659795	אני מכרח לומר ש אני לא אהסס לעשות מהפכה ב תחום ה תכנון	אני מכרח לומר ש אני לא אהסס לעשות מהפכה ב תחום ה תכנון
common_voice_he_39659796	נצר בני מצות אביך ו אל תטש תורת אמך	נצר בני מצות אביך ו אל תטש תורת אמך
common_voice_he_39659797	ש אנחנו עושים מאמץ כולל עכשו ל שלט ב תכניות ש נכנסות ל בתי ה ספר	ש אנחנו עושים מאמץ כולל עכשו ל שלט ב תכניות ש נכנסות ל בתי ה ספר
common_voice_he_40612852	מ איפה הוא בא מה תפיסת עולמו	מ איפה הוא בא מה תפיסת עולמו
common_voice_he_40612855	מ צד שני ב רדיו מכניסים הפרטה כזאת ש ספק אם ה רדיו ה ממלכתי יוכל להמשיך להתקים	מ צד שני ב רדיו מכניסים הפרטה כזאת ש ספק אם ה רדיו ה ממלכתי יוכל להמשיך להתקים
common_voice_he_40612862	מקורה של ה הכנסה ש חלקה ל נהנה יקבע ב התאם ל מקורות ה הכנסה של ה נאמן ב אפן יחסי	הוראה של ה הכנסה ש חלקה ל נאמן יקבע ב התאם ל מקורות ה הכנסה של ה נאמן ב אפן יחסי
common_voice_he_40612863	ה ענין ה זה הוא מאה ו ארבעים מיליון שקל	ה ענין ה זה הוא מאה ו ארבעים מיליון שקל
common_voice_he_40612866	אולם ה תגמולים ל נזקקים ול נצרכים מתנים מטבע ה דברים ב הכנסות אחרות	אולם ה תמלוגים ל נזקקים ול נצרכים מתנים מטבע ה דברים ב הכנסות אחרות
common_voice_he_40612867	אוירת ה אפוק ו הרסון היתה קצרת מועד	אוירת ה אפוק ו הרסון היתה קצרת מועד
common_voice_he_41019415	אפלו כאשר היתה ישיבה של ועדת ה תכנון ב חיפה	אפלו כאשר היתה ישיבה של ועדת ה תכנון ב חיפה
common_voice_he_41019416	ו משם תהיה פתוחה ה דרך ל תהליך מדיני היסטורי	ו משם תהיה פתוחה ה דרך ל תהליך מדיני היסטורי
common_voice_he_41019419	ל משל וה בן אדם בכלל מתעלם מה בקשה	ל משל וה בן אדם בכלל מתעלם מה בקשה
common_voice_he_41019455	אמרתי את זה ו אמרתי תפתחו את ה סרטים ו תסתכלו	אמרתי את זה ו אמרתי תפתחו את ה סרטים ו תסתכלו
common_voice_he_41019456	מה טוב חלקנו ו מה נעים גורלנו	מה טוב חלקנו ו מה נעים גורלנו
common_voice_he_41019457	על מנת לסבר את ה אזן אתכבד להביא בפניכם נתונים מספריים מה שטח ב התיחס ל צבור ה קשישים	על מנת לסבר את ה אזן אתכבד להביא בפניכם נתונים מספריים מה שטח ב התיחס ל צבור ה קשישים
common_voice_he_38623331	זה אפשרי לחיות ב מחנה פליטים תחת ה פצצות	זה אפשרי לחיות ב מחנה פליטים תחת ה פצצות
common_voice_he_38623332	עשרים ו תשע ב יוני אלפים ו אחת עשרה ל מנינם	עשרים ו תשע ב יוני אלפים ו אחת עשרה ל מנינם
common_voice_he_38623333	אני צריך לקחת את ה כלב שלי לספר	אני צריך לקחת את ה כלב שלי לספר
common_voice_he_38623334	ה קשי ה ראשון נוגע ל מועד עריכת הסדר ה חוב	ה קשי ה ראשון נוגע ל מועד עריכת הסדר ה חוב
common_voice_he_38623347	מי ה בשמים ש את משתמשת בהם ריחם מ שבח	מי ה פסומים ש את משתמשת בהם ריחם משבח
common_voice_he_38623348	ו גם ל בית תפלה סרים בודאי לפעמים ב שעת מצב רוח	ו גם ל בית תפלה שרים בודאי לפעמים ב שעת מצב רוח
common_voice_he_38623349	מ אמא מ אחי אני מקבלת מכתבים שניהם בריאים	מ אמא מ אחי אני מקבלת מכתבים שניהם גרועים
common_voice_he_43503033	כ חמשת אלפים פועלים מ כפר כנא ומה סביבה נזקקים ל שרותיה	כ חמשת אלפים פועלים מ כפר כנא ומה סביבה נזקקים ל שרותיה
common_voice_he_43503040	כי ה נושא נדון לפני דקות לא רבות ב מליאה	כי ה נושא נדון לפני דקות לא רבות ב מליאה
common_voice_he_43503045	ו הכנת תכנית סדורה ל טפול ו הסרת לוחות אזבסט פריך ב שתוף פעלה עם ה משרד ל איכות ה סביבה	ו הכנת תכנית סדורה ל טפול ו הסרת לוחות אזבסט פריך ב שתוף פעלה עם ה משרד ל איכות ה סביבה
common_voice_he_43503050	זה ה נשיא ש הטיף ו מטיף פעל ו פועל	זה ה נשיא ש הטיף ו מטיף פעל ו פועל
common_voice_he_43503051	ה נושא ה זה כבר עלה לפני שבועים	ה נושא ה זה כבר עלה לפני שבועים
common_voice_he_43503055	נערכו השתלמויות מורים ל שפור איכות ה הוראה ול הטמעת תכניות למודים ו חמרי למידה עתירי טכנולוגיות עליות	נערכו השתלמויות מורים ל שפור איכות ה הוראה ול הטמעת תכניות למודים ו חמרי למידה עתירי טכנולוגיות ידעיות
common_voice_he_43503067	ה אח ה גדול היא תכנית טלויזיה פופולרית ב ערוץ שתים	ה אח ה גדול היא תכנית טלויזיה פופולרית ב ערוץ שתים
common_voice_he_43512945	היתה ישיבה פה ב פגרת ה קיץ לפני שנה ו חצי	היתה ישיבה פה ב פגרת ה קיץ לפני שנה ו חצי
common_voice_he_43512961	לא פחות ו לא יותר אני ב קצבאות ילדים לא אקצץ לעולם	לא פחות ו לא יותר אני ב קצבאות ילדים לא אקצץ לעולם
common_voice_he_40977316	אכל יורד בושט נכנס ל קבה ו מתעכל שם אחר כך הוא מעבר ל מעי ה דק וה גס	אכל יורד בושט נכנס ל קבה ו מתאכל שם אחר כך הוא מעבר ל מי ה דק וה גס
common_voice_he_40978528	צריך להביא תכנית בנין עיר תבע	צריך להביא תכנית בנין עיר טאב
common_voice_he_40978535	ו אני רוצה ב פתח ה דברים למסר את תנחומי	ו אני רוצה ב פתח ה דברים למסר את תנחומי
common_voice_he_40978542	ב דרום תל אביב או ב ערים ה חלשות	ב דרום תל אביב וב ערים ה חלשות
common_voice_he_40978546	אני יודע מה זה כשהמש טרה חושדת	אני יודע מה זה כשהמש טרה חושדת
common_voice_he_40978553	גבוש נהלים ו פקדות ל טפול ו הסרת אזבסט פריך	גבוש נהלים ו פקדות ל טפול ו הסרת אסבסט פריך
common_voice_he_40978560	בן גוריון עשה אותו מעל ה חאן ה ירושלמי	בן גוריון עשה אותו מעל ה חאן ה ירושלמי
common_voice_he_40978567	ה ישיבה תתקים ב רציפות עד גמר ה הצבעה	ה ישיבה תתקים ב רציפות עד גמר ה הצבעה
common_voice_he_40978573	ה תכנית ה כלכלית ש מנחת כאן ו עומדת ל קריאה שניה ו שלישית	ה תכנית ה כלכלית ש מנחת כאן ו עומדת ל קריאה שניה ו שלישית
common_voice_he_40978575	נכון שה חלק ה זה הוא חלק מדאיג	נכון שה חלק ה זה הוא חלק מדאיג
common_voice_he_40978592	ו מתוך רצון להבריח הוא מוצא תקציבים למרות ה קצוצים	ו מתוך רצון להבריח הוא מוצא תקציבים למרות ה קצוצים
common_voice_he_40978609	ו אם היה תורנו ה יום להגיש אי אמון	ו אם היה טובנו ה יום להגיש אי אמון
common_voice_he_38195450	ספר יוסי אמר אבישי	ספר יוסי אמר אבישי
common_voice_he_38195452	איני מתכונת להביע שב צורה בה חיית עד עכשו היית כבול	איני מתכונת להביאה שב צורה בה חיית עד עכשו היתה כבול
common_voice_he_38195454	אם תתגלה ה אבן הרי מקומה בירושלים לפי דעתי ו לא ב ניו יורק	אם תתגלה ה אבן הרי מקומה בירושלים לפי דעתי ו לא ב ניו יורק
common_voice_he_38196114	אין חדר פנוי ב מחנה	אין חדר פנוי ב מחנה
common_voice_he_38196115	דרך ארכה עברנו	דרך הרחקה עברנו
common_voice_he_38196117	ה יום ה שמים מאוד מעוננים	ה יום ה שמים מאוד מעוננים
common_voice_he_38196118	איני יודעת משום מה קניתי אותו ב אותו רגע	איני יודעת משום מה קניתי אותו ב אותו רגע
common_voice_he_38196119	לו היו אנשי ה קבוצה אוכלים כמוהו	לו היו אנשי ה קבוצה אוכלים כמוהו
common_voice_he_38196120	פוגעים ב צורה קשה ב אנשים ש מקבלים הבטחת הכנסה	פוגעים ב צורה קשה ב אנשים ש מקבלים הבטחת הכנסה
common_voice_he_38196121	ה קואליציה טוענת ש זה בזבוז זמן ו אנחנו מתישים	ה קואליציה טוענת ש זה בזבוז זמן ו אנחנו מתישים
common_voice_he_38196122	כן זה חשוב ב מיחד ב ימים ה אלה	כסף חשוב ב מיחד ב ימים ה אלה
common_voice_he_38196123	מדוע פניך כה רעים	מדוע פני קוראים
common_voice_he_38196124	מה זה מאתים שמונים ו אחת אלף מבטלים	ו זה מאתים שמונים ו אחת אלף מבטלים
common_voice_he_38196125	רק שאלה היא אם בחרתי פה ב דרך ה טובה	רק שאלה היא אם בחרתי פה ב דרך ה טובה
common_voice_he_38196126	וכש קראתי את ה עתון נמלא לבי יאוש	וכש קראתי את ה עתון נמלא לבי יאוש
common_voice_he_40909678	עכוב פרעון חובות ו עכוב מתן מכתבי פטורין	עכוב פרעון חובות ו עכוב מתן מכתבי פטורין
common_voice_he_40909679	וב המשך הגישה תלונה נגדית כנגד ה משפחה ה מקומית בגין תקיפה	וב המשך הגישה תלונה נגדית כנגד ה משפחה ה מקומית בגין תקיפה
common_voice_he_40909680	למה אנחנו צריכים להכנס ל דבר ש אנחנו לא יודעים איך נצא ממנו	למה אנחנו צריכים להכנס ל דבר ש אנחנו לא יודעים איך נצא ממנו
common_voice_he_40909681	לא חשבתי שב מסגרת ה זאת אזדקק לעשות כן	לא חשבתי שב מסגרת ה זאת אזדקק לעשות כן
common_voice_he_40909682	כי לפעמים ה נזק הוא עצום וה תביעות הן ב מיליונים	כי לפעמים ה נזק הוא עצום וה תהיות הן ב מיליונים
common_voice_he_40909688	ו הם התנהגו כך ב זמן ה הכנות ל תכנית ה כלכלית	ו הם התנהגו כך ב זמן ה הכנות ל תכנית ה כלכלית
common_voice_he_40909689	ו אני פונה ל אריק שרון ש יפנה ל אהוד יתום ול גלעד ארדן	ו אני פונה ל רק שרון ש יפנה ל אהוד יתום ול גלעד ארדן
common_voice_he_40909690	ש אנחנו כבר מבינים כמה היא הרסנית	ש אנחנו כבר מבינים כמה ירסנית
common_voice_he_40909691	ו אני חושב של עמד פה ו להשמיץ ב הכללה	ו אני חושב של עמד פה ו להשמיץ ב הכללה
common_voice_he_40909692	ב מיחד לנכח גל ה התיקרויות ה צפוי ב משק ב שנת אלפים ו שתים עשרה	ב מיחד לנכח גל ה התיקרות ה צפוי ב משק ב שנת אלפים ו שתים עשרה
common_voice_he_40909693	כי ה חיבת יכולה לעמד ב תשלומים ש נפסקו	כי ה חיבת יכולה לעמד ב תשלומים ש נפסקו
common_voice_he_40909694	גם בגין תלונה זו נפתחה חקירה	גם בגין תלונה זו נפתחה חקירה
common_voice_he_40909695	הרי מי ה כי סובל מ ענין ה דיור	הרי מי הכי סבל ב ענין ה דיור
common_voice_he_40909696	לא נותנות שרותים רפואיים רק ל מי ש משלם כסף	לא נותנות שרותים רפואיים רק ל מי ש משלם כסף
common_voice_he_40909697	אני מקוה שמ הר מאוד נתן תקוה ל תושבי כפר שלם	אני מקוה שמ הר מאוד נתן תקוה ל תושבי כפר שלם
common_voice_he_40909699	ה חשיבות ה היסטורית ה לאמית ה תרבותית ו גם ה חנוכית	ה חשיבות ה היסטורית ה לאמית ה תרבותית ו גם ה חנוכית
common_voice_he_40909700	לא תעסוקה לא תקוה לא חזון	לא תעסוקה לא תקוה לא חזון
common_voice_he_40909701	ו בעוד שבוע עוד מאה ו חמשים אלף מנות	ו בעוד שבוע עוד מאה ו חמשים אלף מנות
common_voice_he_40909702	ב עלויות כלולים גם סכומי שכר מה גבוהים ב משק	ב עלויות כלולים גם סכומי שכר מה גבוהים ב משק
common_voice_he_41616575	ל עולים ש היא מביאה ו לא מתאמצת לקלט ב ארץ כמו ש צריך	ל עולים ש היא מביאה ו לא מתאמצת לקלט ב ארץ כמו ש צריך
common_voice_he_41616579	שכן אין שואל נוסף ש לא מ מפלגות אחרות	שכן אין שואל נוסף ש לא מ מפלגות אחרות
common_voice_he_41616580	חלק מה עצומים הם לא לבצע תקונים ב ישובים ה ערביים	חלק מה עצומים הם לא לבצע תקונים ב ישובים ה ערביים
common_voice_he_41616584	היא יכולה לבקר מעשים היא לא יכולה לבקר אנשים ב הכללה	היא יכולה לבקר מעשים היא לא יכולה לבקר אנשים ב הכללה
