filename	reference_text	transcribed_text
common_voice_he_41486337	ניסן אסלומינו ואמנון כהן ולעדת הפנים ואיכות הסביבה נתקבלה	ניסן אסלומינו ואמנון כהן ולעדת הפנים ואיכות הסביבה נתקבלה
common_voice_he_40972184	בראשון לציון לא מדבר בעשרים טונות גז	בשריוני ציון לא מדבר בעשרים טונות גז
common_voice_he_40972185	סגניו מאימים כמונים שהלכו לתוך חצרותיהם	סגניו מאימים אמונים שהלכו לתוך עוצרותיהם
common_voice_he_40972186	אני מניח שהוא לא מצפה שזה יקרה מחר	אני מניח שהוא לא מצפה שזה יקרה מחר
common_voice_he_40972188	לא רק ברמה העקרונית אלא גם ברמה התפעולית	לא רק ברמה העקרונית אלא גם ברמה התפעולית
common_voice_he_40909673	כי גם כך הוא רעב וממהר	כי גם כך הוא רעב וממהר
common_voice_he_40909674	אנחנו עדים לכך שמקומות יהודיים הם יעד פרעות למפגעים	אנחנו עדים לכך שמקומות יהודיים הם יעד פרעות למפגעים
common_voice_he_40909676	למה היא צריכה לגבות מהם אגרה	למה היא צריכה לגבות מהם אגרה
common_voice_he_40909677	לא אצל המבטלים ולא אצל החרדים	לא יוצא למבטלים ולא יוצא לחרדים
common_voice_he_39897721	בסין יש רכבות מהירות שמגיעות עד ארבע מאות כמש	בסין יש רכבות מהירות שמגיעות עד ארבע מאות כמש
common_voice_he_39897722	והערכים היקרים הם דע מה למעלה ממך	והערכים היקרים הם דע מה למעלה ממך
common_voice_he_39897723	הם לא נעצרו הם לא נשפטו	הם לא נעצרו הם לא נשפטו
common_voice_he_39897724	אנחנו לקראת משהו באלפים ושלוש עשרה	אנחנו לקראת משהו באלפים ושלוש עשרה
common_voice_he_43281934	אלא אם כן יש מי שמתנגד	עליהם כן יש מי שמתנגד
common_voice_he_43281935	ואני נמצא פה משנת אלף תשע מאות שמונים ושמונה	ואני נמצא פה משנת אלף תשע מאות שמונים ושמונה
common_voice_he_43281936	ליד ככר רבין יש את המקום עם הסושי הכי טוב שאכלתי בחיים	ליד ככר רבין יש את המקום עם הסושי הכי טוב שאכלתי בחיים
common_voice_he_43281938	אבל אני רוצה ולאד סופית שאנחנו באים עם דברים מסדרים	אבל אני רוצה ולאד סופית שאנחנו באים עם דברים מסדרים
common_voice_he_40067774	אגוד ערים ושרותי כבאות אזור אשקלון	אגוד ערים ושרותי כבאות אזור אשקלון
common_voice_he_40067775	מתקף תפקידי כיושב ראש ועדת הכספים	מתקף תפקידי כיושב ראש ועדת כספים
common_voice_he_40067777	אבא רץ אתי ביער שאל אבא את אמי היכן נמליחנה	אבא רץ אתי ביער ושאל את אמי היכן כנעלה
common_voice_he_40067778	נחקר במשך כשעה ובסיומה שחרר לדרכו	נחקר במשך כשעה ובסיומה שחרר לדרכו
common_voice_he_38744643	שחלקם העז למרד ולהצביע בנושא הערבה בישר	שחלקם מעז למרד ולהצביע בנושא הערבה בישר
common_voice_he_38744644	ולכן כל הטכנולוגיה שאפשר להכניס ולהגביל	ולכן כל הטכנולוגיה שאפשר להכניס ולהגביל
common_voice_he_38744646	המחלקה השביעית של תרבות אבדה עם המורה	המחלקה השביעית של תרבות עבדה עם המורה
common_voice_he_38744647	לעסת החמורים השרתה מנוחה באסם	לעיסת החמורים נשרתה מנוחה באסמה
common_voice_he_38094978	ארכו הלילות וקצרו הימים	ארכו הלילות וקצרו הימים
common_voice_he_38094979	נשכבתי ליד המים השקטים	נשכרתי ליד המים השקטים
common_voice_he_38094980	הרי זה נקרא לקחת חרמש בדיים	הרי זה נקרא לקחת חרמש בדיים
common_voice_he_38094981	המורים לוקחים כרכרות ונוסעים לקראתם	המורים לוקחים כרכרות ונוסעים לקראתן
common_voice_he_39750876	אז מתר לתת גם למפלגה אחרת לנמק	אז מתר לתת גם למפלגה אחרת לנמק
common_voice_he_39750877	אבל היות שהיו שנויים בסדר היום הם היו כיבים עזב	אבל היות שהיו שנויים בסדר היום הם היו כיבים עזב
common_voice_he_39750878	וזאת הייתה למעשה ראשית השמש בנעלים	וזאת הייתה למעשה ראשית השמש בנעלים
common_voice_he_39750933	הרבה פעמים דבר על הנושא הזה	הרבה פעמים דבר על הנושא הזה
common_voice_he_39750937	זה בעצם מהוה תמריץ שלילי לחיל המלואים להתייצב לשרות	זה בעצם מהוה תמריץ שלילי לחיל המלואים להתייצב לשרות
common_voice_he_38883685	ביום בהיר יפה יצאנו לטיול	ביום בהיר יפה יצאנו לטיול
common_voice_he_38883686	כל הבריאים מהלכים כמו קפיצים מתמתחים ומתכווצים מכאבי שרירים	כל הבריאים מהלכים כמו קפיצים מתמתחים ומתכווצים מכאבי שרירים
common_voice_he_38883687	עשן החל להניקנו	עשן החל להניקנו
common_voice_he_38883688	כבר אפשר לראות שלא מדבר בתכנית כלכלית	כבר אפשר לראות שלא מדבר בתכנית כלכלית
common_voice_he_38883689	הוא הרועה שלי	הוא הרועה שלי
common_voice_he_40972199	במפלגתי זה גרוע בקדימה זה גרוע	במפלגתי זה גרוע בקדימה זה גרוע
common_voice_he_40972200	הוא יגיד אני נפגע תאונת דרכים	הוא יגיד אני נפגע תאונת דרכים
common_voice_he_40972201	הוא אומר בתכנית הזאת החלטנו בצורה ברורה שלא לפגע בשכבות שנמצאות במצב הקשה ביותר	הוא אומר בתכנית הזאת החלטנו בצורה ברורה שלא לפגע בשכבות שנמצאות במצב הקשה ביותר
common_voice_he_40972202	שישלם לטובת הקרן שלקום ים המלח	שישלם לטובת הקרן שלקום ים המלח
common_voice_he_40972203	אני כיב לומר לך אני לא שיך למנזר השתקנים	אני כיב לומר לך אני לא שיך למנזר השתקנים
common_voice_he_41617129	בריאת העולם הייתה בזכות מדת החסד עולם חסד יבנה	בריאת העולם הייתה בזכות מדת החסד עולם חסד יבנה
common_voice_he_41617130	במכללות הבוריות יותר משבעים אחוזים מהמרצים הם מרצים מן החוץ	במכללות הבוריות יותר משבעים אחוזים מהמרצים הם מרצים מן החוץ
common_voice_he_41617131	ובמקומות שבהם הוא הפסיק וצטט בצורה סלקטיבית	ובמקומות שבהם הוא הפסיק וצטט בצורה סלקטיבית
common_voice_he_41617133	והעוזרים לידו דורית אוג סיגל קויוט	והעוזרים לידו דורית אוג סיגל קויוט
common_voice_he_41617137	זה אפשר לתקן כי זה לא מעשי שמים	זה אפשר לתקן כי זה לא מעשי שמים
common_voice_he_40137979	מה היא ההתחשבות בעמדת קרובי המשפחה	מהי ההתחשבות בעמדת קרובי המשפחה
common_voice_he_40137980	אנו מקוים שהתכנית תקרם בקרוב עור וגידים	אנו מקוים שהתכנית תקרם בקרוב אור וגידים
common_voice_he_40137981	יש הרבה מותגים של מכוניות בארץ גונדה וסטראוטיפן למשל	יש הרבה מותגים של מכוניות בארץ גונדה וסיטונאן למשל
common_voice_he_40137982	לא הפרו אמונים ולא קבלו שחד	לא הפרו אמונים ולא קבלו שחד
common_voice_he_40137983	בין שאדם נפטר בבית בין קרובי משפחה ובין שהוא נפטר ערירי במקום כלשהו	בין שאדם נפטר בבית בין קרובי משפחה ובין שהוא נפטר על ידי במקום כלשהו
common_voice_he_43313116	אנחנו כרגע נמצאים דוכא בארבע עשרה דקות	אנחנו כרגע נמצאים דוכא בארבע עשרה דקות
common_voice_he_43313117	תפעיל את השיר של אביב גפן בספו טיפי	תפעיל את השיר של אביב גחן בספו טיפיי
common_voice_he_43313118	ותוך חמש דקות זה מופיע ברדיו	ותוך חמש דקות זה מופיע ברדיו
common_voice_he_43313119	המוח מרכב משתי אונות הימנית והשמאלית	המוח מרכב משתי עונות הימנית והשמאלית
common_voice_he_43313120	בתכנית הכלכלית בניתים גזרה אחת עברה מן העולם	בתכנית הכלכלית בניתים גזרה אחת עברה מן העולם
common_voice_he_38568963	כל סמל הוא מועט המרמז להרבה	כל סמל מועט מהרמת בהרבה
common_voice_he_38568964	ומשמתחילים לדבר על הבית היענים מאירות במין ברק מתגעגע וחולם	ומשמתחילים לדבר על הבית היענים מהירות במדברת אנרגיה וחוללת
common_voice_he_38568965	כי הדיון בפניו ישהה עד לברור ההליך הפלילי	שהדיון בפניו ישהה עד לברור ההליך הפלילי
common_voice_he_38568966	בשעה שדני ואבישי ואתי ורותי קפצו מעל ערמת הקש עמד יוליוס מן הצד	בשעה שדני ואבישי ואתי ברותי כפסו מעל ערמת הקיץ עמד יוסי לימין עצב
common_voice_he_38568967	ראיתיה בעיר הבירה בטרם עליתי ארצה	ראיתי אויר אוירה בטרם עליתי ארץ
common_voice_he_39659793	אבל הוא ישב לילה שלם במעצר	אבל הוא ישב לילה שלם במעצב
common_voice_he_39659794	הם גם החליטו לשתפו בארכותיהם ועשו קפה משתפת	הם גם החליטו לשתפו בארוחותיהם ועשו קפה משתפת
common_voice_he_39659795	אני מחרך לומר שאני לא אהסס לעשות מהפכה בתחום התכנון	אני מחרך לומר שאני לא אהסס לעשות מהפכה בתחום התכנון
common_voice_he_39659796	נצר בני מצות אביך ואל שטת תורת אמך	נצר בני מצות אביך ואל שטת תורת אמך
common_voice_he_39659797	שאנחנו עושים מאמץ כולל ערשו לשלט בתכניות שנכנסות לבתי הספר	שאנחנו עושים מאמץ כולל ערשו לשלט בתכניות שנכנסות לבתי הספר
common_voice_he_40612852	מאיפה הוא בא מה תפיסת עולמו	מאיפה הוא בא מה תפיסת עולמו
common_voice_he_40612855	מצד שני ברדיו מכניסים הפרטה כזאת שספק אם הרדיו הממלכתי יוכל להמשיך להקים	מצד שני ברדיו מכניסים הפרטה כזאת שספק אם הרדיו הממלכתי יוכל להמשיך להקים
common_voice_he_40612862	מקורה של ההכנסה שחלקה לנהנה יקבע בהתאם למקורות ההכנסה של הנאמן באפן יחסי	הוראה של ההכנסה שחלקה לנאמן יקבע בהתאם למקורות ההכנסה של הנאמן באפן יחסי
common_voice_he_40612863	האנין הזה הוא מאה וארבעים מיליון שקל	האנין הזה הוא מאה וארבעים מיליון שקל
common_voice_he_40612866	אולם התגמולים לנזקקים ולנצרכים מתנים מטבע הדברים בהכנסות אחרות	אולם התמלוגים לנזקקים ולנצרכים מתנים מטבע הדברים בהכנסות אחרות
common_voice_he_40612867	אוירת האופק והרסון הייתה קצרת מועד	אוירת האופק והרסון הייתה קצרת מועד
common_voice_he_41019415	אלפו כאשר הייתה ישיבה של ועדת התכנון בחיפה	אלפו כאשר הייתה ישיבה של ועדת התכנון בחיפה
common_voice_he_41019416	ומשם תהיה פתוחה הדרך לתהליך מדיני היסטורי	ומשם תהיה פתוחה הדרך לתהליך מדיני היסטורי
common_voice_he_41019419	למשל והבן אדם בכלל מתעלם מהבקשה	למשל והבן אדם בכלל מתעלם מהבקשה
common_voice_he_41019455	אמרתי את זה ואמרתי תפתחו את הסרטים ותסתכלו	אמרתי את זה ואמרתי תפתחו את הסרטים ותסתכלו
common_voice_he_41019456	מה טוב חלקנו ומה נעים גורלנו	מה טוב חלקנו ומה נעים גורלנו
common_voice_he_41019457	על מנת לסבר את האזן אתכבד להביא בפניכם נתונים מספריים מהשטח בהתייחס לצבור הקשישים	על מנת לסבר את האזן אתכבד להביא בפניכם נתונים מספריים מהשטח בהתייחס לצבור הקשישים
common_voice_he_38623331	זה אפשרי לחיות במחנה פליטים תחת הפצצות	זה אפשרי לחיות במחנה פליטים תחת הפצצות
common_voice_he_38623332	עשרים ותשעה ביוני אלפים ואחת עשרה מלנינם	עשרים ותשע ביוני אלפים ואחת עשרה מלנינם
common_voice_he_38623333	אני צריך לקחת את הכלב שלי לספר	אני צריך לקחת את הכלב שלי לספר
common_voice_he_38623334	הקשי הראשון נוגע למועד עריכת הסדר החוב	הקשי הראשון נוגע למועד עריכת הסדר החוב
common_voice_he_38623347	מי הבשמים שאת משתמשת בהם ריחם משבח	מי המסופים שאת משתמשת בהם ריחם משבח
common_voice_he_38623348	וגם לבית תפלה סרים ובדאי לפעמים בשעת מצב רוח	וגם לבית תפלה שרים ובדאי לפעמים בשעת מצב רוח
common_voice_he_38623349	מאימא מאחי אני מקבלת מכתבים שניהם בריאים	מאימא מאחי אני מקבלת מכתבים שניהם גרועים
common_voice_he_43503033	כחמשת אלפים פועלים מכפר כנא ומהסביבה נזקקים לשרותיה	כחמשת אלפים פועלים מכפר כנא ומהסביבה נזקקים לשרותיה
common_voice_he_43503040	כי הנושא נדון לפני דקות לא רבות במליאה	כי הנושא נדון לפני דקות לא רבות במליאה
common_voice_he_43503045	והכנת תכנית סדורה לטפול והסרת לוחות אסבסט פריך שבתוף פעלה עם המשרד לאיכות הסביבה	והכנת תכנית סדורה לטפול והסרת לוחות אסבסט פריך שבתוף פעלה עם המשרד לאיכות הסביבה
common_voice_he_43503050	זה הנשיא שהטיף ומטיף פעל ופועל	זה הנשיא שהטיף ומטיף פעל ופועל
common_voice_he_43503051	הנושא הזה כבר עלה לפני בשועים	הנושא הזה כבר עלה לפני בשועים
common_voice_he_43503055	נערכו השתלמויות מורים שלפור איכות ההוראה ולהטמעת תכניות למודים וחמרי למידה עתירי טכנולוגיות עליות	נערכו השתלמויות מורים שלפור איכות ההוראה ולהטמעת תכניות למודים וחמרי למידה עתירי טכנולוגיות ידיעות
common_voice_he_43503067	האח הגדול היא תכנית טלוויזיה פופולרית בערוץ שתים	האח הגדול היא תכנית טלוויזיה פופולרית בערוץ שתים
common_voice_he_43512945	הייתה ישיבה פה בפגרת הקיץ לפני שנה וחצי	הייתה ישיבה פה בפגרת הקיץ לפני שנה וחצי
common_voice_he_43512961	לא פחות ולא יותר אני בקצבאות ילדים לא אקצץ לעולם	לא פחות ולא יותר אני בקצבאות ילדים לא אקצץ לעולם
common_voice_he_40977316	אכל יורד ובשט נכנס לקבה ומתעכל שם אחר כך הוא מעבר למעי הדק והגס	אכל יורד ובשט נכנס לקבה ומתאכל שם אחר כך הוא מעבר למי הדק והגס
common_voice_he_40978528	צריך להביא תכנית בנין עיר תבע	צריך להביא תכנית בנין עיר אטב
common_voice_he_40978535	ואני רוצה בפתח הדברים למסר את תנחומי	ואני רוצה בפתח הדברים למסר את תנחומי
common_voice_he_40978542	בדרום תל אביב או בערים החלשות	בדרום תל אביב ובערים החלשות
common_voice_he_40978546	אני יודע מה זה כשהמשטרה חושדת	אני יודע מה זה כשהמשטרה חושדת
common_voice_he_40978553	הבוש נהלים פוקדות לטפול והסרת אסבסט פריך	הבוש נהלים פוקדות לטפול והסרת אסבסט פריך
common_voice_he_40978560	בן גוריון עשה אותו מעל הכאן הירושלמי	בן גוריון עשה אותו מעל הכאן הירושלמי
common_voice_he_40978567	הישיבה תקים ברציפות עד גמר ההצבעה	הישיבה תקים ברציפות עד גמר ההצבעה
common_voice_he_40978573	התכנית הכלכלית שמנחת כאן ועומדת לקריאה שניה ושלישית	התכנית הכלכלית שמנחת כאן ועומדת לקריאה שניה ושלישית
common_voice_he_40978575	נכון שהחלק הזה הוא חלק מדאיג	נכון שהחלק הזה הוא חלק מדאיג
common_voice_he_40978592	ומתוך רצון להבריח הוא מוצא תקציבים למרות הקצוצים	ומתוך רצון להבריח הוא מוצא תקציבים למרות הקצוצים
common_voice_he_40978609	ואם היה תורנו היום להגיש אי אמון	ואם היה טובנו היום להגיש אי אמון
common_voice_he_38195450	ספר יוסי אמר אבישי	ספר יוסי אמר אבישי
common_voice_he_38195452	איני מתכונת להביע שבצורה בה חיית עד ערשו היית כבול	איני מתכונת להביאה שבצורה בה חיית עד ערשו הייתה כבול
common_voice_he_38195454	אם תתגלה האבן הרי מקומה בירושלים לפי דעתי ולא בניו יורק	אם תתגלה האבן הרי מקומה בירושלים לפי דעתי ולא בניו יורק
common_voice_he_38196114	אין חדר פנוי במחנה	אין חדר פנוי במחנה
common_voice_he_38196115	דרך ארכה עברנו	דרך הרחקה עברנו
common_voice_he_38196117	היום השמים מאוד מעוננים	היום השמים מאוד מעוננים
common_voice_he_38196118	איני יודעת משום מה קניתי אותו באותו רגע	איני יודעת משום מה קניתי אותו באותו רגע
common_voice_he_38196119	לו היו אנשי הקבוצה אוכלים כמוהו	לו היו אנשי הקבוצה אוכלים כמוהו
common_voice_he_38196120	פוגעים בצורה קשה באנשים שמקבלים הבטחת הכנסה	פוגעים בצורה קשה באנשים שמקבלים הבטחת הכנסה
common_voice_he_38196121	הקואליציה טוענת שזה בזבוז זמן ואנחנו מתישים	הקואליציה טוענת שזה בזבוז זמן ואנחנו מתישים
common_voice_he_38196122	כן זה חשוב מביחד בימים האלה	כסף חשוב מביחד בימים האלה
common_voice_he_38196123	מדוע פניך כה רעים	מדוע פני קוראים
common_voice_he_38196124	מה זה מאתים שמונים ואחד אלף מבטלים	וזה מאתים שמונים ואחד אלף מבטלים
common_voice_he_38196125	רק שאלה היא אם בחרתי פה בדרך הטובה	רק שאלה היא אם בחרתי פה בדרך הטובה
common_voice_he_38196126	וכשקראתי את האתון נמלא לבי יאוש	וכשקראתי את האתון נמלא לבי יאוש
common_voice_he_40909678	עקוב פרעון חובות ועקוב מתן מכתבי פטרין	עקוב פרעון חובות ועקוב מתן מכתבי פטרין
common_voice_he_40909679	ובהמשך הגישה תלונה נגדית כנגד המשפחה המקומית בגין תקיפה	ובהמשך הגישה תלונה נגדית כנגד המשפחה המקומית בגין תקיפה
common_voice_he_40909680	למה אנחנו צריכים לסכנה לדבר שאנחנו לא יודעים איך נצא ממנו	למה אנחנו צריכים לסכנה לדבר שאנחנו לא יודעים איך נצא ממנו
common_voice_he_40909681	לא חשבתי שבמסגרת הזאת אזדקק לעשות כן	לא חשבתי שבמסגרת הזאת אזדקק לעשות כן
common_voice_he_40909682	כי לפעמים הנזק הוא עצום והתביעות הן במיליונים	כי לפעמים הנזק הוא עצום והייתהיות הן במיליונים
common_voice_he_40909688	והם התנהגו כך בזמן ההכנות לתכנית הכלכלית	והם התנהגו כך בזמן ההכנות לתכנית הכלכלית
common_voice_he_40909689	ואני פונה לאריק שרון שיפנה לאהוד יתום ולגלעד אחדן	ואני פונה לרק שרון שיפנה לאהוד יתום ולגלעד אחדן
common_voice_he_40909690	שאנחנו כבר מבינים כמה היא הרסנית	שאנחנו כבר מבינים כמה יחצנית
common_voice_he_40909691	ואני חושב שלעמד פה ולהשמיץ בהכללה	ואני חושב שלעמד פה ולהשמיץ בהכללה
common_voice_he_40909692	מביחד לנכך גל ההיקרויות הצפוי במשק בשנת אלפים ושתים עשרה	מביחד לנכך גל ההיקרות הצפוי במשק בשנת אלפים ושתים עשרה
common_voice_he_40909693	כי גריבת יכולה לעמד בתשלומים שנפסקו	כי גריבת יכולה לעמד בתשלומים שנפסקו
common_voice_he_40909694	גם בגין תלונה זו נפתחה חקירה	גם בגין תלונה זו נפתחה חקירה
common_voice_he_40909695	הרי מי הכי סובל מאנין הדיור	הרי מי הכי סבל באנין הדיור
common_voice_he_40909696	לא נותנות שתורים רפואיים רק למי שמשלם כסף	לא נותנות שתורים רפואיים רק למי שמשלם כסף
common_voice_he_40909697	אני מוקה שמהר מאוד נתן תקוה לתושבי כפר שלם	אני מוקה שמהר מאוד נתן תקוה לתושבי כפר שלם
common_voice_he_40909699	החשיבות ההיסטורית הלאמתי התרבותית וגם החניכות	החשיבות ההיסטורית הלאמתי התרבותית וגם החניכות
common_voice_he_40909700	לא תעסוקה לא תקוה לא חזון	לא תעסוקה לא תקוה לא חזון
common_voice_he_40909701	ובעוד שבוע עוד מאה וחמשים אלף מנות	ובעוד שבוע עוד מאה וחמשים אלף מנות
common_voice_he_40909702	בעלויות כלולים גם סכומי שכר מהגבוהים במשק	בעלויות כלולים גם סכומי שכר מהגבוהים במשק
common_voice_he_41616575	לעולים שהיא מביאה ולא מתאמצת לקלט בארץ כמו שצריך	לעולים שהיא מביאה ולא מתאמצת לקלט בארץ כמו שצריך
common_voice_he_41616579	שכן אין שואל נוסף שלא ממפלגות אחרות	שכן אין שואל נוסף שלא ממפלגות אחרות
common_voice_he_41616580	חלק מהעצומים הם לא לבצע קונים בישובים הערביים	חלק מהעצומים הם לא לבצע קונים בישובים הערביים
common_voice_he_41616584	היא יכולה לבקר מעשים היא לא יכולה לבקר אנשים בהכללה	היא יכולה לבקר מעשים היא לא יכולה לבקר אנשים בהכללה
common_voice_he_41616601	בהם פיה גוף רהטון ריתקם ענד בלוז ומוזיקה אלקטרונית	בהם פיה גוף רגעיותן רתם ענד בלוז ומוזיקה אלקטרונית
common_voice_he_41616602	בישיבות אלה נדונו הבקשות של נציגות הסגל הזוטר	בישיבות אלה נדונו הבקשות של נציגות הסגל הזוטר
common_voice_he_41616604	לא רק יהודי הוא ילד בשבילו	לא רק יהודי הוא ילד בשבילו
common_voice_he_41616612	תבדקו מי האנשים שמתקבלים ומי האנשים שלא מתקבלים	תבדקו מי האנשים שמתקבלים ומי האנשים שלא מתקבלים
common_voice_he_41616613	אתה בתור ירושלמי צריך להגן על ירושלים	אתה בתור ירושלמי צריך להגן על ירושלים
common_voice_he_41616614	ודחית ההנחות במס הכנסה לא יפצו על זה	ודחית ההנחות במס הכנסה לא יפצו על זה
common_voice_he_41616616	תצא איזה בשורה גם בנושא הדיור	תצא זה בשורה גם בנושא הדיור
common_voice_he_41616617	אני אישית לא רפורמי ולא קונסרבטיבי	אני אישית לא רפורמי ולא קונסרבטיבי
common_voice_he_41616619	ובאמת נתמודד כאן בזירת רעיונות מאנינת	ובאמת נתמודד כאן בזירת רעיונות מאנינת
common_voice_he_41616625	מיקרוסקופו מתחרה בגול ברכישת אבליטה שבוי אסטרונומי של מליארדים	מיקרוסקופ מתחרה בגול ברכישת גטיה שבוי אסטרונומי של מיליארדים
common_voice_he_41616629	שפור זה תרם לשמירת היציבות באי ושיון ובעני לפי הכנסה כלכלית	שפור זה תרם לשמירת היציבות באי ושיון ובעני לפי הכנסה כלכלית
common_voice_he_41616635	כדי שנדע איפה אנחנו עומדים ונראה איך אנחנו צריכים לטפל בצגיה הזאת	כדי שנדע איפה אנחנו עומדים ונראה איך אנחנו צריכים לטפל בצגיה הזאת
common_voice_he_41616636	נכון שהתחוללו שנויים מפליגים במזרח התיכון	נכון שהתחוללו שנויים מפליגים במזרח התיכון
common_voice_he_41616637	אומרים יש בעולם נעורים היכן נעורי	אומרים יש בעולם נעורים היכן נעורי
common_voice_he_41616638	אפשר שהדיון שם יהיה דיון פתוח	אפשר שהדיון שם יהיה דיון פתוח
common_voice_he_41616640	ואני אנסה להסביר גם למה כמו שהוא אמר	ואני אנסה להסביר גם למה כמו שהוא אמר
