filename	reference_text	transcribed_text
common_voice_he_41019364	הארכת חיים מצילות חיים מ אריכות חיים	הערכת חיים מצילות חיים מ אריכות חיים
common_voice_he_38078780	ב סופו של דבר לאחר שיבשו ה דמעות הרגשתי שב כל זאת הטבתי שעות	ב סופו של דבר לאחר שיבשו ה דמעות הרגשתי שב כל זאת חטבתי לעשות
common_voice_he_39659793	אבל הוא ישב לילה שלם ב מעצר	אבל הוא ישב לילה שלם ב מעצב
common_voice_he_39326852	התחילה רכיבה ב מלא מובן ה מלה	התחילה רכיבה ב מלוא מובן ה מלה
common_voice_he_38078786	מוחק אחת ו מציר אחרת ב מקומה	מוחק אחת מציר אחרת ב מקומה
common_voice_he_41486375	ל כזה שפל מדרגה לא רק מוסרי	ל חזה שפל מדרגה לא רק מוסרי
common_voice_he_38146705	ו תספר לנו כיצד קרה ה דבר	ו תספר לנו כיצד קרה לך דבר
common_voice_he_38085651	מ אין לך זאת כבר היית שם	מה אין לך זאת כבר היית שם
common_voice_he_41486357	שרפרף גבוהה יכול לשמש גם כ שלחן	שרפרף גבוה יכול לשמש גם כ שלחן
common_voice_he_39771208	"ב העדר בני משפחה ש יתנגדו ו עם בקשת זק""א להכיר בו כ מיצגיהם"	ב העדר בני משפחה ש התנגדו ו עם בקשת זכה להכיר בו כ מיצגיהם
common_voice_he_43281947	זו חוויה לא הכי נעימה ב עולם	זו חבירה לא הכי נעימה ב עולם
common_voice_he_38094981	ה מורים לוקחים כרכרות ו נוסעים לקראתם	ה מורים לוקחים כרכרות ו נוסעים לקראתן
common_voice_he_38118863	אל תמהרי לכי הביתה ו נוחי קצת	אל תמהרי לכי הביתה ו לא קצת
common_voice_he_40909690	ש אנחנו כבר מבינים כמה היא הרסנית	ש אנחנו כבר מבינים כמה הרסנית
common_voice_he_38094128	מה ערכה של ה אבן ב כסף	מה ה ערכה של ה אבן ב כסף
common_voice_he_38744643	ש חלקם ה עז ל מרד ו להצביע ב נושא ה ערבה ב ישר	ש חלקם מעז ל מרד ו להצביע ב נושא ה ערבה ב ישר
common_voice_he_38085645	כ ש חזרתי ראיתי ב חלון ב תחנה ה מרכזית את ה חטא ו עונשו	כ ש חדרתי ראיתי ב חלון ב תקנה ה מרכזית את ה חטא ו עונשו
common_voice_he_38085649	אבל יחד עם זה אני רוצה להתגבר על ה קשי ו להמשיך דווקא ב עברית	אבל יחד עם זה אני רוצה להתגבר עליו קשי ו להמשיך דווקא ב עברית
common_voice_he_41616616	תצא איזה בשורה גם ב נושא ה דיור	תצא זה בשורה גם ב נושא ה דיור
common_voice_he_39326855	ה מורים חשבו כי הרגו את ה מחלקה	ה מורים חשבו כי הרגנו את ה מחלקה
common_voice_he_39326856	בוא אחרי ל חפירות כלם משתגעים מ שמחה	בוא אחר ל חפירות כלם משתגעים מ שמחה
common_voice_he_38196124	מה זה מאתים שמונים ו אחת אלף מבטלים	ו זה מאתים שמונים ו אחת אלף מבטלים
common_voice_he_39753227	ו ידבר יוצא מן ה אולם פשוט מאוד	ו ידבר יוצא מן ה עולם פשוט מאוד
common_voice_he_39327084	מכיון ש אני כותבת יומן ו ל יומן מתאים ל כתב על עניני בחורים אכתב חדשות	מכיון ש אני כותב את יומן ו ל יומן מתאים ל כתב על עניני בחורים אכתב חדשות
common_voice_he_40067775	מתקף תפקידי כ יושב ראש ועדת ה כספים	מתקף תפקידי כ יושב ראש ועדת כספים
common_voice_he_38142080	אני מבחינה גם ב חסרונות ה מוסד ה זה ו בטוחה ש גם מה חסרונות אלמד	אני מבחינה גם ב חסרונות ה מוסד עד אל ו בטוחה ש גם מה חסרונות אלמד
common_voice_he_38146696	אף פעם לא ראיתי תוכי כל כך מאשר	אף פעם לא ראיתי צוקי כל כך מאשר
common_voice_he_38078774	גו כמה קשה ל כתב עוד ה כל	או כמה קשה ל כתב עוד ה כל
common_voice_he_39350851	ה טנור שלנו שכח את קולו ב בית שלו	ה טנור שלנו שכח את קולו ב בית
common_voice_he_38623349	מ אימא מ אחי אני מקבלת מכתבים שניהם בריאים	מ אימא מ אחי אני מקבלת מכתבים שניהם גרועים
common_voice_he_40978542	ב דרום תל אביב או ב ערים ה חלשות	ב דרום תל אביב ו ב ערים ה חלשות
common_voice_he_40978609	ו אם היה תורנו ה יום להגיש אי אמון	ו אם היה טובנו ה יום להגיש אי אמון
common_voice_he_39937271	רבותיי ה שרים ה שר ליברמן ה דברים שלי	רבות ה שרים ה שר ליברמן ה דברים שלי
common_voice_he_38104806	ה קפה שלי חמוץ אבל לא ב אפן מגזם	ה קפה שלי חמות אבל לא ב אפן מגזם
common_voice_he_38085648	בכלל ב ימים ה אחרונים השתלט פה מצב קשה	בכלל ב ימים ה אחרונים השתלט ב מצב קשה
common_voice_he_41616655	ש מגיעים ל בית ה ספר למה הם מגיעים	כ ש מגיעים ל בית ה ספר למה הם מגיעים
common_voice_he_40137983	בין ש אדם נפטר ב בית בין קרובי משפחה ו בין ש הוא נפטר ערירי ב מקום כלשהו	בין ש אדם נפטר ב בית בין קרובי משפחה ו בין ש הוא נפטר על ידי ב מקום כלשהו
common_voice_he_39326826	עתה אין לי כלום ב עולם אין לי דבר	אתה אין לי כלום ב עולם אין לי דבר
common_voice_he_41605186	אם ה דגם ה זה יעבר ל ערים אחרות	עם ה דגם ה זה יעבר ל ערים אחרות
common_voice_he_43313117	תפעיל את ה שיר של אביב גפן ב ספוטיפי	תפעיל את ה שיר של אביב גחן ב ספוטיפי
common_voice_he_39771177	אני רוצה להתייחס ב דברי ב יום ה זה	אני רוצה להתייחס ב דברי ב יום זה
common_voice_he_39327199	ה כלבה הביאה ל אור ה עולם שני גורים	ה כלבה הביאה ל אור ה עולם שני אגורים
common_voice_he_38078781	אמר ה מורה ש איזה ילד ילך אתה הביתה	אמר ה מורה ש ה ילד ילך אתה הביתה
common_voice_he_39844332	מה זה כבודו ה זמן כ דת וכ דין	מה זה כבודו ו זמן כ דת וכ דין
common_voice_he_41869860	כ ש ממקמים מתקן גז ב היקף כזה בתוך אזור ש ממילא הוא רווי ב מפעלים ו חמרים מסכנים	כ ש ממקמים מתקן גז ב היקף כזה בתוך אזור ש ממלא הוא רווי מפעלים ו חמרים מסכנים
common_voice_he_41616697	ו מכיון ש ראינו גם ש אם לא מתקדמים ב שלושים ו אחת ב יולי הולכים לפטר מאה עובדים	ו מכיון ש ראינו ש גם אם לא מתקדמים ב שלושים ו אחת ב יולי הולכים לפטר מאה עובדים
common_voice_he_38142090	לך אל ה חברה ש יחזירו לך דמי כרטיס ה אנייה ו שוב ל מקום ש באת מ שם	לך אל ה חברה ש החזירו לך דמי כרטיס ה אנייה ו שוב ל מקום ש באת ל שם
common_voice_he_38118866	אף פעם לא הבנתי למה ש משום יקר כל כך	אף פעם לא הבנתי למה ש נשוון יקר כל כך
common_voice_he_39785425	קבר יוסף נמצא ב סמוך ל מחנה ה פליטים בלאטה	קבר יוסף נמצא ב סמוך ל מחנה ה פליטים בלטה
common_voice_he_40137980	אנו מקוים ש ה תכנית תקרם בקרוב עור ו גידים	אנו מקוים ש ה תכנית תקרם בקרוב אור ו גידים
common_voice_he_40001956	לפי שכלו יהלל איש ו נעווה לב יהיה ל בוז	לפי שכלו יהלל איש ו נעבה לב יהיה ל בוז
common_voice_he_38744646	ה מחלקה ה שביעית של תרבות אבדה עם ה מורה	ה מחלקה ה שביעית של תרבות עבדה עם ה מורה
common_voice_he_39327095	כל ה לילה ישבנו בתוך ה יער הוסיף יוסי לספר	כל ה לילה ישבנו בתוך ה יער הוסיף יוסי לי לספר
common_voice_he_38146664	ה מחזיר אתה גם כן ל מי ש הפסיד אצלך	ה מזיל אתה גם כן ל מי ש הפסיד אצלך
common_voice_he_38142099	מה אתה מבין ב קולות הנה לך בר סמך חדש	מה אתה מבין ב קולות הנה לך בא סמך חדש
common_voice_he_38118874	מ אז התהלך ה אנגלי ו דעתו אינה שפויה עליו	מ יד התהלך ה אנגלי ו דעתו אינה שפויה עליו
common_voice_he_41605201	כ תוצאה מה פיצוץ נפצע ב ארח בינוני ה מאבטח	כ תוצאה מה פיצוץ נפצע ב ארך בינוני ה מאבטח
common_voice_he_41605214	לב יודע מרת נפשו ו ב שמחתו לא יתערב זר	לב יודע מרת נפשו ו ב שמחתו לא התערב זר
common_voice_he_40977316	אכל יורד ב וושט נכנס ל קבה ו מתעכל שם אחר כך הוא מעבר ל מעי ה דק ו ה גס	אכל יורד ב וושט נכנס ל קבה ו מתאכל שם אחר כך הוא מעבר ל מי ה דק ו ה גס
common_voice_he_40612862	מקורה של ה הכנסה ש חלקה ל נהנה יקבע ב התאם ל מקורות ה הכנסה של ה נאמן ב אפן יחסי	הוראה של ה הכנסה ש חלקה ל נאמן יקבע ב התאם ל מקורות ה הכנסה של ה נאמן ב אפן יחסי
common_voice_he_38118870	להתקין מלכדת ל תרנגולות ש החלו להתחצף ב שנים ה אחרונות	להתקין מלכדת ל תרנגולות ש החלו להתחשב ב שנים ה אחרונות
common_voice_he_38142073	מ מכתבך נודע לי ש כבר עזבת לגמרי איך ה הרגשה	מ מכתבך נודע לי ש כבר עזבת לגמרי איך הרגשה
common_voice_he_42922381	אלא מבטאים גם השגים ב תחומי ה ספורט ו ה אמנות	אלה מבטאים גם השגים ב תחומי ה ספורט ו ה אמנות
common_voice_he_43313119	ה מוח מרכב מ שתי אונות ה ימנית ו ה שמאלית	ה מוח מרכב מ שתי עונות ה ימנית ו ה שמאלית
common_voice_he_38568965	כי ה דיון בפניו ישהה עד ל ברור ה הליך ה פלילי	ש ה דיון בפניו ישהה עד ל ברור ה הליך ה פלילי
common_voice_he_39937168	פעם נוספת מתחת ל אפנו מתחוללת ב דרום שוב איזה מיני מלחמה	פעם נוספת מתחת ל אפינו מתחוללת ב דרום שוב איזה מיני מלחמה
common_voice_he_41605172	קוקטייל תרופות יכול להביא ל שיפור ה אפקטיביות של טפול מונע דכאון	קוקטייל תרופות יכול להביא ל שיפור ה אפקטיביות של טפול מוני דכאון
common_voice_he_38115877	תמיד רצתה רותי לדעת מה עשו ו ל שאלותיה לא היה סוף	תמיד רצתה רותי לדעת מי עשו ו ל שאלותיה לא היה סוף
common_voice_he_40909682	כי לפעמים ה נזק הוא עצום ו ה תביעות הן ב מיליונים	כי לפעמים ה נזק הוא עצום ו ה תהיות הן ב מיליונים
common_voice_he_41616758	עמיתי ו רעי מ ועדת ה כלכלה ש דואג ל שכבות מצוקה	אמתי ו רעי מ ועדת ה כלכלה ש דואג ל שכבות מצוקה
common_voice_he_38623348	ו גם ל בית תפלה סרים בוודאי לפעמים ב שעת מצב רוח	ו גם ל בית תפלה שרים בוודאי לפעמים ב שעת מצב רוח
common_voice_he_41616625	מיקרוסופט מתחרה ב גוגל ב רכישת גיטהאב ב שווי אסטרונומי של מיליארדים	מיקרוסופט מתחרה ב גוגל ב רכישת גטיה ב שווי אסטרונומי של מיליארדים
common_voice_he_38142101	יש לו רק מאפיה ו תנור חם סל גדול ו שלוש שעות מנוחה	יש לו רק מאפיה ו תנור חם סל גדול ו שלוש שעות מלוכה
common_voice_he_39753055	ו אפילו יעד כבר מקום ל בית ה משפט ה חדש ב צפת	ו אפילו יעד כבר מקום חדש ל בית ה משפט ה חדש ב צפת
common_voice_he_39327183	מול ארגז ה גזרות ה מיושן ה זה ש עכשיו מטילים ל פתחנו	מול ארגז ה גזרות ה מיושן ה זה ש עכשיו מניתים ל פתחנו
common_voice_he_38146702	יש לי ה יום משמעותית יותר חברים מש היו לי ב גיל עשרים	יש לי כ יום משמעותית יותר חברים מש היו לי ב גיל עשרים
common_voice_he_38078785	פה ב בית ספר ב כל מקום את ה חופש את ה אנושיות	הוא ב בית ספר ב כל מקום את ה חופש את ה אנושיות
common_voice_he_39831320	ו בעקבות זאת נחקר ה פרמדיק תחת אזהרה ו הכחיש מ ערבותו ב עניין	ו בעקבות זאת נחקר ה פרמדיק תחת אזהרה ו החיש מ ערבותו ב עניין
common_voice_he_39753088	ו ה זקן תקע ב אותו מקום את ה סכין שב קצה ה משוט	ו ה זקן תקע ב אותו מקום את ה סכין שב קצה ה משות
common_voice_he_38118859	כלי תקוה ש ה אזניות לא התקלקלו כ ש טבלו ב כוס ה תה	כלי תקוה ש ה אזניות לא יתקלקלו כ ש טבלו ב כוס ה תה
common_voice_he_38085657	היא שתקה כמו אבן ו רק עיניה ה גדולות ו ה דועכות הביטו עלי	היא שתקה כמו אבן ו רק עיניה ה גדולות ו ה דוחות הביטו עלי
common_voice_he_39753600	כמות ה רכבים ה ממגנים מספיקה ל פעילות ה גדוד ו ל בצוע משימותיו	כמות ה רכבים ה מוגנים מספיקה ל פעילות ה גדוד ו ל בצוע משימותיו
common_voice_he_39327152	מובן ש לא בין יהודים כ אלה חופשיים עמלים שקטים ו ל דעתי גם מאשרים	מובן ש לא בין יהודים כ אלה חפשים עמלים שקטים ו ל דעתי גם מאשרים
common_voice_he_39785418	אגיד הסתייגות אחת ב פתח תשובתי תשובתי אינה כוללת את ה נושא ש העלית אתה	אגיד הסתייגות אחת ב פתח תשובתי תשובתי אינה כוללת את ה נושא ש העלית עתה
common_voice_he_40909692	במיוחד לנוכח גל ה התייקרויות ה צפוי ב משק ב שנת אלפים ו שתים עשרה	במיוחד לנוכח גל ה התייקרות ה צפוי ב משק ב שנת אלפים ו שתים עשרה
common_voice_he_40909689	ו אני פונה ל אריק שרון ש יפנה ל אהוד יתום ו ל גלעד ארדן	ו אני פונה ל רק שרון ש יפנה ל אהוד יתום ו ל גלעד ארדן
common_voice_he_39327065	אתה צריך להבין כי אין ה אנשים ה מחפשים יהלומים כ שאר בני ה אדם	אתה צריך להבין כי אין ה אנשים ה מחפשים יהלומים כ שאר בני אדם
common_voice_he_40612866	אולם ה תגמולים ל נזקקים ו ל נצרכים מתנים מטבע ה דברים ב הכנסות אחרות	אולם ה תמלוגים ל נזקקים ו ל נצרכים מתנים מטבע ה דברים ב הכנסות אחרות
common_voice_he_39327198	ו לא זכרו בני ישראל את ה אלוהיהם ה מציל אותם מ יד כל אביהם מ סביב	ו לא זכרו בני ישראל את ה אלוהיהם ה מציל אותם מ יד כל אויביהם מ סביב
common_voice_he_39326865	אין מלים ב פי למסר את ה הרגשות ש עוררו בי ה דרך ו ה אוטובוס ל עמק	אין מלים ב פי למסר את ה רגשות ש עוררו בי ה דרך ו ה אוטובוס ל עמק
common_voice_he_43503055	נערכו השתלמויות מורים ל שיפור איכות ה הוראה ו ל הטמעת תכניות למודים ו חמרי למידה עתירי טכנולוגיות עליות	נערכו השתלמויות מורים ל שיפור איכות ה הוראה ו ל הטמעת תכניות למודים ו חמרי למידה עתירי טכנולוגיות ידיעות
common_voice_he_39937157	ו יתנו לו שבעים כסף מ בית בעל ברית ו ישכור בהם אבימלך אנשים ריקים ו פוחזים ו ילכו אחריו	ו יתנו לו שבעים כסף מ בית בעל ברית ו יסקר בהם אבימלך אנשים ריקים ו פוחזים ו ילכו אחריו
common_voice_he_39327041	מן טבריה ה עיר ו עד ל דרך ה צדדית ה מתרוממת לבין ה הרים ש בתוכם שכן ה כפר	מן טבריה ה עיר ו עד ל דרך ה צדדית ה מתרוממת לבין ה ערים ש בתוכם שכן ה כפר
common_voice_he_39753586	ה צעדה תחל ב שעה ארבע ב רחבת נזכר ש בין ה תחנה ה מרכזית ה חדשה ל בנייני ה אמה ב ירושלים	ה צעדה תחל ב שעה ארבע ב רחבת נזקור ש בין ה תחנה ה מרכזית ה חדשה ל בנייני ה אמה ב ירושלים
common_voice_he_39753570	ה יזמה ל הצעה ה זאת נובעת מ כמה עניינים מרכזיים	ה יזמה ל הצעה ה זאת נובעת מ כמה עניינים מרכזיים
common_voice_he_39753616	ב יום חמישי ה קרוב אמור להתבצע ה פנוי שלה	ב יום חמישי ה קרוב אמור להתבצע ה פנוי שלה
common_voice_he_39753603	גורמי ה בטיחות ו ה הצלה כמו כבוי אש	גורמי ה בטיחות ו ה הצלה כמו כבוי אש
common_voice_he_39753613	אבל אני רוצה להמשיך או לפתח ב נקדה שאייתן נגע בה ב אקראי	אבל אני רוצה להמשיך או לפתח ב נקדה שאייתן נגע בה ב אקראי
common_voice_he_39753518	הם עובדים מתוך תחושת משבר כלכלי	הם עובדים מתוך תחושת משבר כלכלי
common_voice_he_39753615	ש תפקיד ה שופטים הוא לחולל מהפכה חברתית	ש תפקיד ה שופטים הוא לחולל מהפכה חברתית
common_voice_he_39753620	אני מבטיח לסיים בתוך שתי דקות	אני מבטיח לסיים בתוך שתי דקות
common_voice_he_39753618	כפוף ל הוראת תקנה זו אני מודיע ב זאת	כפוף ל הוראת תקנה זו אני מודיע ב זאת
common_voice_he_39753520	ש ה נפגעים ה ראשונים ו ה עיקריים הם ה קבוצות ה חלשות ב אכלוסיה	ש ה נפגעים ה ראשונים ו ה עיקריים הם ה קבוצות ה חלשות ב אכלוסיה
common_voice_he_39753501	אנחנו הכנסנו סנקציות מאוד מאוד מחמירות ב שלוש מישורים	אנחנו הכנסנו סנקציות מאוד מאוד מחמירות ב שלוש מישורים
common_voice_he_39753626	אז היית יכול לומר שגיתי ב מקרו כלכלה	אז היית יכול לומר שגיתי ב מקרו כלכלה
common_voice_he_39753498	אם אתם רוצים תרומה למה לא פשוט לבקש	אם אתם רוצים תרומה למה לא פשוט לבקש
common_voice_he_39753629	תמיד זכיתי לקבל הרינו שמחים להודיעך	תמיד זכיתי לקבל הרינו שמחים להודיעך
common_voice_he_39753630	אז למה הם המשיכו אז ב תפקידם	אז למה הם המשיכו אז ב תפקידם
common_voice_he_39753519	ה דבר ה זה חמור במיוחד כלפי חולים כרוניים ש מקבלים מרשמים מדי חדש ב חדשו	ה דבר ה זה חמור במיוחד כלפי חולים כרוניים ש מקבלים מרשמים מדי חדש ב חדשו
common_voice_he_39753601	אני חושב שב סיום עבודת ה ועדה ב ראשות פרופסור שטינברג	אני חושב שב סיום עבודת ה ועדה ב ראשות פרופסור שטינברג
common_voice_he_39753602	סוגיה זו שלובה ב תהליך ה מדיני ב כללותו ו קשורה גם ל מדיניות ה כוללת לגבי ה נעשה ב יהודה ו שומרון	סוגיה זו שלובה ב תהליך ה מדיני ב כללותו ו קשורה גם ל מדיניות ה כוללת לגבי ה נעשה ב יהודה ו שומרון
